HVP-6.0-SP2p41.1-2199-39494
Interactive Services
AdministrationReportsConfigurationuser: mbejosano@west.com Logout
Customer Usage
Call
Call ID:	e4007-20180328181308053-490
Application Name:	Care2.0
Application Description:	Care2.0
CLID:	HUI0000020000
DNIS:	4070077
Call Date:	Wednesday, March 28th 2018
Call Utterance:	not available
Event Search
Event ID:	  
Parameter:	
 
Events
Time	ID	Param ID	Utterance
18:13:08	sip session	callid=ccde30c7-18b9-4acf-87e0-0c4cc2b8a1b8@10.27.131.217|remote-rtp=10.27.131.217:2626|local-rtp=10.27.128.108:11218|originator=REMOTE	-
18:13:08	call start	ANI=HUI0000020000|DNIS=4070077|VURL=http://vxmlnasapps/CallRouter/?session.connection.local.uri=adt_care_2_TEST&useExternalIP=true|outbound=N	-
18:13:08	asr session	asrengine=nuance90-mrcp1-ng|sessionid=FKLMBDHEAAAANPCKAAAAAAAB|address=10.27.139.152:554|server=Nuance Open Speech Recognizer for MRCPv1|setuptime=0.031|endpoint=10.27.130.136:8922	-
18:13:08	fetch	uri=http://vxmlnasapps/CallRouter/?session.connection.local.uri=adt_care_2_TEST&useExternalIP=true|fetchtype=vxml|mimetype=text/xml;charset=ISO-8859-1|incache=false|latency=0.003|documentsize=303|outcome=success|failover=false|localport=49568|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=94|bytesread=486|byteswritten=236|cachedecision=nc(no expiration)|method=GET	-
18:13:08	fetch	uri=http://vxmlnasapps/Projects/adt/care2/Application_20180328114523/srv/tuvoxcvr?useExternalIP=true&session.connection.local.uri=adt_care_2_TEST|fetchtype=vxml|mimetype=text/xml;charset=ISO-8859-1|incache=false|latency=0.010|documentsize=16416|outcome=success|failover=false|localport=49570|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=141|bytesread=16753|byteswritten=283|cachedecision=nc(no expiration)|method=GET	-
18:13:08	fetch	uri=http://vxmlnasapps/Projects/adt/care2/Application_20180328114523/dialogs/TuVoxRoot.vxml|fetchtype=vxml|mimetype=application/voicexml+xml|incache=false|latency=0.007|documentsize=84229|outcome=success|failover=false|localport=49572|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=87|bytesread=84623|byteswritten=369|cachedecision=nc(pragma no-cache)|method=GET	-
18:13:08	severe	msg=ReferenceError: asrengine is not defined|line=1	-
18:13:08	fetch	uri=http://vxmlnasapps/ecmascripts/wicstd/wicstd.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.005|documentsize=26744|outcome=success|failover=false|localport=49574|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=47|bytesread=27134|byteswritten=189|cachedecision=nc(pragma no-cache)|method=GET	-
18:13:08	fetch	uri=http://vxmlnasapps/ecmascripts/wicstd/MTLPortRequest.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.004|documentsize=18722|outcome=success|failover=false|localport=49576|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=55|bytesread=19112|byteswritten=197|cachedecision=nc(pragma no-cache)|method=GET	-
18:13:08	fetch	uri=http://vxmlnasapps/ecmascripts/wicstd/QueportPortRequest.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.004|documentsize=11014|outcome=success|failover=false|localport=49578|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=59|bytesread=11404|byteswritten=201|cachedecision=nc(pragma no-cache)|method=GET	-
