HVP-6.0-SP2p41.1-2199-39494
Interactive Services
AdministrationReportsConfigurationuser: mbejosano@west.com Logout
Customer Usage
Call
Call ID:	e4007-20180329163101416-018
Application Name:	Care2.0
Application Description:	Care2.0
CLID:	HUI0000020000
DNIS:	4070077
Call Date:	Thursday, March 29th 2018
Call Utterance:	not available
Event Search
Event ID:	  
Parameter:	
 
Events
Time	ID	Param ID	Utterance
16:31:01	sip session	callid=ed63c013-365a-4094-8fdf-864ceab3b5cb@10.27.131.217|remote-rtp=10.27.131.217:30424|local-rtp=10.27.128.108:11156|originator=REMOTE	-
16:31:01	call start	ANI=HUI0000020000|DNIS=4070077|VURL=http://vxmlnasapps/CallRouter/?session.connection.local.uri=adt_care_2_TEST&useExternalIP=true|outbound=N	-
16:31:01	asr session	asrengine=nuance90-mrcp1-ng|sessionid=FKLNENAFAAAGGKBEAAAAAAAD|address=10.27.139.152:554|server=Nuance Open Speech Recognizer for MRCPv1|setuptime=0.069|endpoint=10.27.130.136:8564	-
16:31:01	fetch	uri=http://vxmlnasapps/CallRouter/?session.connection.local.uri=adt_care_2_TEST&useExternalIP=true|fetchtype=vxml|mimetype=text/xml;charset=ISO-8859-1|incache=false|latency=0.005|documentsize=303|outcome=success|failover=false|localport=44124|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=94|bytesread=486|byteswritten=236|cachedecision=nc(no expiration)|method=GET	-
16:31:01	fetch	uri=http://vxmlnasapps/Projects/adt/care2/Application_20180329104443/srv/tuvoxcvr?useExternalIP=true&session.connection.local.uri=adt_care_2_TEST|fetchtype=vxml|mimetype=text/xml;charset=ISO-8859-1|incache=false|latency=0.007|documentsize=16415|outcome=success|failover=false|localport=44126|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=141|bytesread=16752|byteswritten=283|cachedecision=nc(no expiration)|method=GET	-
16:31:01	fetch	uri=http://vxmlnasapps/Projects/adt/care2/Application_20180329104443/dialogs/TuVoxRoot.vxml|fetchtype=vxml|mimetype=application/voicexml+xml|incache=false|latency=0.008|documentsize=84228|outcome=success|failover=false|localport=44128|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=87|bytesread=84622|byteswritten=369|cachedecision=nc(pragma no-cache)|method=GET	-
16:31:01	severe	msg=ReferenceError: asrengine is not defined|line=1	-
16:31:01	fetch	uri=http://vxmlnasapps/ecmascripts/wicstd/wicstd.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.004|documentsize=26744|outcome=success|failover=false|localport=44130|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=47|bytesread=27134|byteswritten=189|cachedecision=nc(pragma no-cache)|method=GET	-
16:31:01	fetch	uri=http://vxmlnasapps/ecmascripts/wicstd/MTLPortRequest.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.005|documentsize=18722|outcome=success|failover=false|localport=44132|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=55|bytesread=19112|byteswritten=197|cachedecision=nc(pragma no-cache)|method=GET	-
16:31:01	fetch	uri=http://vxmlnasapps/ecmascripts/wicstd/QueportPortRequest.js|fetchtype=script|mimetype=application/javascript|incache=false|latency=0.004|documentsize=11014|outcome=success|failover=false|localport=44134|hostname=vxmlnasapps|exlocalport=0|httpstatus=200|httpstatusdesc=OK|urilength=59|bytesread=11404|byteswritten=201|cachedecision=nc(pragma no-cache)|method=GET	-
